pkts_per_sec,bytes_per_sec,avg_pkt_size,src_ip_count,label
1677.198139030184,90568.69950762994,54.0,2,1
2303.241867431532,124375.06084130272,54.0,2,1
2662.6577936158187,143783.5208552542,54.0,2,1
2999.714539713067,161984.58514450563,54.0,2,1
3255.9292443653594,175820.1791957294,54.0,1,1
2784.367637585137,150355.8524295974,54.0,1,1
3615.5808156527796,195241.3640452501,54.0,1,1
3795.024177599521,204931.30559037413,54.0,1,1
3738.9971688147853,201905.8471159984,54.0,1,1
3772.7560784353436,203728.82823550855,54.0,1,1
2826.6733330738152,152640.35998598603,54.0,2,1
3334.8922131961463,180084.1795125919,54.0,2,1
3114.7110931272414,168194.39902887103,54.0,2,1
2991.44127985649,161537.82911225045,54.0,2,1
3689.7946356244415,199248.91032371984,54.0,2,1
3632.4455686580973,196152.06070753725,54.0,2,1
3093.744195608638,167062.18656286647,54.0,2,1
785.4454603411705,42414.05485842321,54.0,2,1
7.182967633510627,703.9308280840414,98.0,2,0
9.557385898437254,936.6238180468508,98.0,2,0
9.575002243621801,938.3502198749364,98.0,2,0
9.566098234511122,937.4776269820899,98.0,2,0
9.549914171225323,935.8915887800815,98.0,2,0
9.565376939862821,937.4069401065565,98.0,2,0
9.553685069088031,936.2611367706271,98.0,2,0
9.567461128353182,937.6111905786119,98.0,2,0
9.557051073151152,936.591005168813,98.0,2,0
4.380577921119517,429.29663626971274,98.0,2,0
2.3879713948138264,234.02119669175497,98.0,2,0
9.570121207900653,937.871878374264,98.0,2,0
9.565214697640883,937.3910403688064,98.0,2,0
9.559811586898606,936.8615355160633,98.0,2,0
9.547922747446695,935.6964292497761,98.0,2,0
9.562080004422768,937.0838404334313,98.0,2,0
9.564447643679838,937.3158690806241,98.0,2,0
9.563198717779116,937.1934743423533,98.0,2,0
9.56091478603191,936.9696490311271,98.0,2,0
9.559242835135286,936.8057978432581,98.0,2,0
9.165442188039178,898.2133344278394,98.0,2,0
1.993555398547909,195.3684290576951,98.0,2,0
9.549719385380984,935.8724997673364,98.0,2,0
9.560029936558372,936.8829337827204,98.0,2,0
9.768177240502911,957.2813695692853,98.0,2,0
9.547684574976202,935.6730883476678,98.0,2,0
9.558716357513344,936.7542030363077,98.0,2,0
9.556006823027476,936.4886686566927,98.0,2,0
9.568230029979821,937.6865429380224,98.0,2,0
9.564704829343166,937.3410732756303,98.0,2,0
9.558564779019552,936.739348343916,98.0,2,0
9.553427569030768,936.2359017650153,98.0,2,0
9.564512165991776,937.322192267194,98.0,2,0
9.569160061348608,937.7776860121636,98.0,2,0
9.551996158071155,936.0956234909733,98.0,2,0
9.567312000301095,937.5965760295073,98.0,2,0
9.557490706294995,936.6340892169096,98.0,2,0
9.56441220221694,937.3123958172602,98.0,2,0
9.563811554807653,937.25353237115,98.0,2,0
9.566667347760161,937.5334000804958,98.0,2,0
9.560611948407628,936.9399709439475,98.0,2,0
9.957073736496431,975.7932261766501,98.0,2,0
3.979250198141671,389.9665194178838,98.0,2,0
109.58387793923896,10739.220038045418,98.0,2,1
1351.1469361444513,132412.39974215624,98.0,2,1
1245.5851560826425,122067.34529609895,98.0,2,1
1110.1327831309436,108793.01274683248,98.0,2,1
1253.5251728970177,122845.46694390774,98.0,2,1
748.8825336647644,73390.48829914692,98.0,2,1
755.9811797541854,74086.15561591017,98.0,2,1
1151.3416106987045,112831.47784847303,98.0,2,1
1285.5711514416198,125985.97284127874,98.0,2,1
1505.3551065950546,147524.80044631535,98.0,2,1
1355.2094366486103,132810.52479156383,98.0,2,1
1870.019951033793,183261.9552013117,98.0,2,1
1921.0222337365337,188260.1789061803,98.0,2,1
1766.5633580443935,173123.20908835056,98.0,2,1
1263.0494441090316,123778.84552268511,98.0,2,1
1150.3202421330982,112731.38372904363,98.0,2,1
1433.4138968818331,140474.56189441966,98.0,2,1
1827.1531334015524,179061.0070733521,98.0,2,1
0.3980251261484029,39.00646236254348,98.0,2,0
1.9922054081844165,195.2361300020728,98.0,2,0
1.9909141340718453,195.10958513904083,98.0,2,0
1.9921928230684338,195.2348966607065,98.0,2,0
1.993611115349327,195.37388930423404,98.0,2,0
1.9943600883769377,195.4472886609399,98.0,2,0
1.994840614560425,195.49438022692163,98.0,2,0
1.5935720706652776,156.17006292519721,98.0,2,0
1.9911835037893597,195.13598337135724,98.0,2,0
1.9896724792453873,194.98790296604795,98.0,2,0
1.9943110623035343,195.44248410574636,98.0,2,0
1.9914949292968458,195.1665030710909,98.0,2,0
0.39792003658246183,38.99616358508126,98.0,2,0
6.374812651809267,624.7316398773082,98.0,2,0
9.551764579960055,936.0729288360855,98.0,2,0
9.568380550911936,937.7012939893698,98.0,2,0
9.567835332927384,937.6478626268836,98.0,2,0
9.574037839988598,938.2557083188826,98.0,2,0
9.552072748997663,936.103129401771,98.0,2,0
